,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives,epochs_neginf,epochs_pu
104,0.815,0.6725,0.668,0.6771,499,1642,248,238,RGCN,Cora,0.1,81,81,51,41
105,0.823,0.6049,0.8091,0.483,356,1806,84,381,RGCN,Cora,0.1,81,81,51,51
106,0.8158,0.6153,0.7428,0.5251,387,1756,134,350,RGCN,Cora,0.1,81,81,51,61
107,0.8409,0.6895,0.7619,0.6296,464,1745,145,273,RGCN,Cora,0.1,81,81,51,71
108,0.8363,0.6603,0.7902,0.5672,418,1779,111,319,RGCN,Cora,0.1,81,81,51,81
109,0.8196,0.6447,0.7203,0.5834,430,1723,167,307,RGCN,Cora,0.1,81,81,51,91
110,0.8234,0.6209,0.7803,0.5156,380,1783,107,357,RGCN,Cora,0.1,81,81,51,101
111,0.8199,0.6255,0.751,0.536,395,1759,131,342,RGCN,Cora,0.1,81,81,51,111
112,0.8161,0.566,0.8378,0.4274,315,1829,61,422,RGCN,Cora,0.1,81,81,51,121
113,0.8207,0.5783,0.85,0.4383,323,1833,57,414,RGCN,Cora,0.1,81,81,51,131
114,0.8131,0.5449,0.8596,0.3989,294,1842,48,443,RGCN,Cora,0.1,81,81,51,141
115,0.8161,0.5985,0.7725,0.4885,360,1784,106,377,RGCN,Cora,0.1,81,81,51,151
116,0.7982,0.4721,0.8876,0.3216,237,1860,30,500,RGCN,Cora,0.1,81,81,51,161
117,0.8219,0.5909,0.8305,0.4586,338,1821,69,399,RGCN,Cora,0.1,81,81,51,171
118,0.826,0.5959,0.8553,0.4573,337,1833,57,400,RGCN,Cora,0.1,81,81,51,181
119,0.7979,0.4727,0.8815,0.3229,238,1858,32,499,RGCN,Cora,0.1,81,81,51,191
120,0.4027,0.3593,0.257,0.597,440,618,1272,297,RGCN,Cora,0.1,81,81,61,1
121,0.7537,0.5608,0.5611,0.5604,413,1567,323,324,RGCN,Cora,0.1,81,81,61,11
122,0.7381,0.4956,0.5391,0.4586,338,1601,289,399,RGCN,Cora,0.1,81,81,61,21
123,0.8093,0.5539,0.8057,0.422,311,1815,75,426,RGCN,Cora,0.1,81,81,61,31
124,0.8264,0.6948,0.6856,0.7042,519,1652,238,218,RGCN,Cora,0.1,81,81,61,41
125,0.8337,0.6409,0.8125,0.5292,390,1800,90,347,RGCN,Cora,0.1,81,81,61,51
126,0.8264,0.6174,0.8088,0.4993,368,1803,87,369,RGCN,Cora,0.1,81,81,61,61
127,0.8264,0.6587,0.7346,0.597,440,1731,159,297,RGCN,Cora,0.1,81,81,61,71
128,0.8485,0.6989,0.7897,0.6269,462,1767,123,275,RGCN,Cora,0.1,81,81,61,81
129,0.8337,0.6636,0.7669,0.5848,431,1759,131,306,RGCN,Cora,0.1,81,81,61,91
130,0.8188,0.5758,0.839,0.4383,323,1828,62,414,RGCN,Cora,0.1,81,81,61,101
131,0.8165,0.5594,0.8571,0.4152,306,1839,51,431,RGCN,Cora,0.1,81,81,61,111
132,0.8435,0.6639,0.8354,0.5509,406,1810,80,331,RGCN,Cora,0.1,81,81,61,121
133,0.799,0.4923,0.8449,0.3474,256,1843,47,481,RGCN,Cora,0.1,81,81,61,131
134,0.8158,0.5973,0.772,0.4871,359,1784,106,378,RGCN,Cora,0.1,81,81,61,141
135,0.7891,0.4358,0.8735,0.2904,214,1859,31,523,RGCN,Cora,0.1,81,81,61,151
136,0.8306,0.6174,0.8427,0.4871,359,1823,67,378,RGCN,Cora,0.1,81,81,61,161
137,0.8211,0.5758,0.8598,0.4328,319,1838,52,418,RGCN,Cora,0.1,81,81,61,171
138,0.804,0.4946,0.8936,0.3419,252,1860,30,485,RGCN,Cora,0.1,81,81,61,181
139,0.8005,0.4893,0.8685,0.3406,251,1852,38,486,RGCN,Cora,0.1,81,81,61,191
140,0.5192,0.4779,0.3436,0.7843,578,786,1104,159,RGCN,Cora,0.1,81,81,71,1
141,0.7153,0.4228,0.4902,0.3718,274,1605,285,463,RGCN,Cora,0.1,81,81,71,11
142,0.8363,0.713,0.7017,0.7246,534,1663,227,203,RGCN,Cora,0.1,81,81,71,21
143,0.8249,0.6724,0.7076,0.6404,472,1695,195,265,RGCN,Cora,0.1,81,81,71,31
144,0.7963,0.5703,0.6988,0.4817,355,1737,153,382,RGCN,Cora,0.1,81,81,71,41
145,0.8215,0.6209,0.768,0.521,384,1774,116,353,RGCN,Cora,0.1,81,81,71,51
146,0.8279,0.6565,0.7461,0.5862,432,1743,147,305,RGCN,Cora,0.1,81,81,71,61
147,0.8371,0.6703,0.7754,0.5902,435,1764,126,302,RGCN,Cora,0.1,81,81,71,71
148,0.8158,0.5608,0.8466,0.4193,309,1834,56,428,RGCN,Cora,0.1,81,81,71,81
149,0.8439,0.6508,0.8741,0.5183,382,1835,55,355,RGCN,Cora,0.1,81,81,71,91
150,0.8135,0.5496,0.8519,0.4057,299,1838,52,438,RGCN,Cora,0.1,81,81,71,101
151,0.7948,0.4782,0.8345,0.3351,247,1841,49,490,RGCN,Cora,0.1,81,81,71,111
152,0.8043,0.5039,0.8729,0.3541,261,1852,38,476,RGCN,Cora,0.1,81,81,71,121
153,0.7899,0.4344,0.887,0.2877,212,1863,27,525,RGCN,Cora,0.1,81,81,71,131
154,0.7922,0.4678,0.8304,0.3256,240,1841,49,497,RGCN,Cora,0.1,81,81,71,141
155,0.8081,0.5245,0.8607,0.3772,278,1845,45,459,RGCN,Cora,0.1,81,81,71,151
156,0.8055,0.5101,0.8693,0.3609,266,1850,40,471,RGCN,Cora,0.1,81,81,71,161
157,0.7929,0.4403,0.9106,0.2904,214,1869,21,523,RGCN,Cora,0.1,81,81,71,171
158,0.7922,0.4562,0.8577,0.3107,229,1852,38,508,RGCN,Cora,0.1,81,81,71,181
